,dong,year,도소매업체수
0,동춘동,2013,654.0
1,동춘동,2014,668.0
2,동춘동,2015,667.0
3,동춘동,2016,671.0
4,동춘동,2017,669.0
5,동춘동,2018,645.0
6,선학동,2013,162.0
7,선학동,2014,171.0
8,선학동,2015,188.0
9,선학동,2016,198.0
10,선학동,2017,200.0
11,선학동,2018,205.0
12,송도동,2013,594.0
13,송도동,2014,824.0
14,송도동,2015,1106.0
15,송도동,2016,1429.0
16,송도동,2017,1632.0
17,송도동,2018,1687.0
18,연수동,2013,655.0
19,연수동,2014,686.0
20,연수동,2015,656.0
21,연수동,2016,630.0
22,연수동,2017,656.0
23,연수동,2018,677.0
24,옥련동,2013,801.0
25,옥련동,2014,939.0
26,옥련동,2015,984.0
27,옥련동,2016,1052.0
28,옥련동,2017,1017.0
29,옥련동,2018,1123.0
30,청학동,2013,346.0
31,청학동,2014,327.0
32,청학동,2015,353.0
33,청학동,2016,379.0
34,청학동,2017,387.0
35,청학동,2018,391.0