,dong,year,제조업체수
0,동춘동,2013,43.0
1,동춘동,2014,43.0
2,동춘동,2015,46.0
3,동춘동,2016,44.0
4,동춘동,2017,41.0
5,동춘동,2018,36.0
6,선학동,2013,23.0
7,선학동,2014,35.0
8,선학동,2015,27.0
9,선학동,2016,33.0
10,선학동,2017,35.0
11,선학동,2018,32.0
12,송도동,2013,302.0
13,송도동,2014,418.0
14,송도동,2015,516.0
15,송도동,2016,554.0
16,송도동,2017,599.0
17,송도동,2018,632.0
18,연수동,2013,79.0
19,연수동,2014,90.0
20,연수동,2015,85.0
21,연수동,2016,77.0
22,연수동,2017,76.0
23,연수동,2018,77.0
24,옥련동,2013,45.0
25,옥련동,2014,47.0
26,옥련동,2015,46.0
27,옥련동,2016,45.0
28,옥련동,2017,54.0
29,옥련동,2018,54.0
30,청학동,2013,45.0
31,청학동,2014,47.0
32,청학동,2015,60.0
33,청학동,2016,59.0
34,청학동,2017,52.0
35,청학동,2018,62.0